1.4715	0.8996	1.1509	-1.0000
4.6315	0.3409	2.4209	-1.0000
2.9055	3.1858	3.1770	 1.0000
3.2563	4.3231	3.8009	 1.0000
0.2798	4.0843	2.2521	 1.0000
2.6446	3.4718	3.2715	 1.0000
1.0620	2.7164	1.7854	-1.0000
3.5126	4.7822	4.1947	 1.0000
2.2227	0.427	1.2697	-1.0000
0.2867	3.1473	1.8032	 1.0000
3.9809	3.456	3.5633	-1.0000
1.7265	4.7341	3.2849	 1.0000
2.6010	4.7691	3.5963	-1.0000
0.3680	1.0352	0.6746	-1.0000
3.8751	4.5709	4.2678	 1.0000
3.9128	1.4777	2.8539	 1.0000
0.7592	4.2396	2.4817	-1.0000
3.9243	1.3542	2.6833	 1.0000
1.1391	1.6051	1.4366	 1.0000
4.1478	4.1109	3.9658	-1.0000
2.8534	2.8591	2.6066	-1.0000
1.4301	3.4957	2.3753	-1.0000
3.9813	2.2079	3.1615	 1.0000
2.2311	2.3283	2.2591	-1.0000
1.3952	3.3769	2.5501	 1.0000
4.5183	4.5426	4.4525	-1.0000
3.736   1.3026	2.4848	-1.0000
3.4482	0.6592	2.1827	 1.0000
0.6175	0.9545	0.8701	 1.0000
0.7287	2.9252	1.7742	-1.0000
